Vector_ID,Backbone,tRNA_array,U6_vector,Short_note,Vector_link,Cloned,Cloned_by,Box_1_Ago_EHA105,Transformed_valencia,Transformed_carrizo,GFP_positives
YCV00072,pCambia1300_RPS8a (GFP-nptII),YCA00066/39,FALSE,,,4/8/2021,Cintia,,,,
YCV00073,pCambia1300_RPS8a (GFP-nptII),YCA00008/39_6mer,FALSE,,,4/8/2021,Cintia,,,,
YCV00074,pCambia1300_RPS8a (GFP-nptII),YCA00010sw/66_6mer,FALSE,,,4/8/2021,Cintia,,,,
YCV00075,pCambia1300_RPS8a (GFP-nptII),YCA00008/10_8mer,FALSE,,,4/8/2021,Cintia,,,,
YCV00076,pCambia1300_RPS8a (GFP-nptII),YCA00008/10/39_10mer,FALSE,,,4/8/2021,Cintia,,,,
YCV00077,Level2_YC_Yao+::hSpCas9_GFP,YCA00008,FALSE,,,3/16/2021,Cintia,B7,3/26/21,,
YCV00078,Level2_YC_Yao+::hSpCas9_GFP,YCA00010,FALSE,,,3/16/2021,Cintia,C9,,,
YCV00079,Level2_YC_Yao+::hSpCas9_mCherry,YCA00010,FALSE,,,3/16/2021,Cintia,D1,,,
YCV00080,Level2_YC_Yao+::InCas9_GFP,YCA00008,FALSE,,,3/16/2021,Cintia,B8,3/26/21,,
YCV00081,Level2_YC_Yao+::InCas9_GFP,YCA00010,FALSE,,,3/16/2021,Cintia,,,,
YCV00082,Level2_YC_Yao+::InCas9_GFP,YCA00008/10_8mer,FALSE,,,3/16/2021,Cintia,,,,
YCV00083,Level2_YC_Yao+::InCas9_GFP,YCA00008/10/39_10mer,FALSE,,,3/16/2021,Cintia,,,,
YCV00084,Level2_YC_RPS5a::InCas9_GFP,YCA00008,FALSE,,,3/16/2021,Cintia,B9,3/26/21,,
YCV00085,Level2_YC_RPS5a::InCas9_GFP,YCA00010,FALSE,,,3/16/2021,Cintia,,,,
YCV00086,Level2_YC_RPS5a::InCas9_GFP,YCA00008/10_8mer,FALSE,,,3/16/2021,Cintia,,,,
YCV00087,Level2_YC_RPS5a::InCas9_GFP,YCA00008/10/39_10mer,FALSE,,,3/16/2021,Cintia,,,,
